BID_AMOUNT=24;BIDDER_ID=21
BID_AMOUNT=95;BIDDER_ID=53
BID_AMOUNT=23;BIDDER_ID=56
BID_AMOUNT=5;BIDDER_ID=24
BID_AMOUNT=7;BIDDER_ID=22
BID_AMOUNT=46;BIDDER_ID=64
BID_AMOUNT=87;BIDDER_ID=57
BID_AMOUNT=38;BIDDER_ID=98
BID_AMOUNT=44;BIDDER_ID=41
BID_AMOUNT=38;BIDDER_ID=24
BID_AMOUNT=60;BIDDER_ID=13
BID_AMOUNT=77;BIDDER_ID=67
BID_AMOUNT=92;BIDDER_ID=71
BID_AMOUNT=67;BIDDER_ID=12
BID_AMOUNT=47;BIDDER_ID=70
BID_AMOUNT=99;BIDDER_ID=57
BID_AMOUNT=98;BIDDER_ID=58
BID_AMOUNT=46;BIDDER_ID=19
BID_AMOUNT=85;BIDDER_ID=35
BID_AMOUNT=54;BIDDER_ID=15
BID_AMOUNT=96;BIDDER_ID=75
BID_AMOUNT=15;BIDDER_ID=5
BID_AMOUNT=18;BIDDER_ID=87
BID_AMOUNT=70;BIDDER_ID=8
BID_AMOUNT=75;BIDDER_ID=33
BID_AMOUNT=19;BIDDER_ID=73
BID_AMOUNT=47;BIDDER_ID=71
BID_AMOUNT=9;BIDDER_ID=0
BID_AMOUNT=64;BIDDER_ID=36
BID_AMOUNT=5;BIDDER_ID=37
BID_AMOUNT=26;BIDDER_ID=68
BID_AMOUNT=99;BIDDER_ID=5
BID_AMOUNT=3;BIDDER_ID=19
BID_AMOUNT=7;BIDDER_ID=8
BID_AMOUNT=82;BIDDER_ID=90
BID_AMOUNT=64;BIDDER_ID=71
BID_AMOUNT=12;BIDDER_ID=14
BID_AMOUNT=55;BIDDER_ID=82
BID_AMOUNT=89;BIDDER_ID=42
BID_AMOUNT=55;BIDDER_ID=56
BID_AMOUNT=89;BIDDER_ID=35
BID_AMOUNT=88;BIDDER_ID=96
BID_AMOUNT=61;BIDDER_ID=57
BID_AMOUNT=10;BIDDER_ID=72
BID_AMOUNT=81;BIDDER_ID=29
BID_AMOUNT=36;BIDDER_ID=81
BID_AMOUNT=20;BIDDER_ID=54
BID_AMOUNT=18;BIDDER_ID=37
BID_AMOUNT=49;BIDDER_ID=12
BID_AMOUNT=21;BIDDER_ID=69
BID_AMOUNT=96;BIDDER_ID=43
BID_AMOUNT=22;BIDDER_ID=63
BID_AMOUNT=91;BIDDER_ID=70
BID_AMOUNT=42;BIDDER_ID=5
BID_AMOUNT=55;BIDDER_ID=48
BID_AMOUNT=53;BIDDER_ID=17
BID_AMOUNT=40;BIDDER_ID=45
BID_AMOUNT=93;BIDDER_ID=40
BID_AMOUNT=92;BIDDER_ID=9
BID_AMOUNT=42;BIDDER_ID=90
BID_AMOUNT=31;BIDDER_ID=98
BID_AMOUNT=36;BIDDER_ID=3
BID_AMOUNT=89;BIDDER_ID=40
BID_AMOUNT=57;BIDDER_ID=16
BID_AMOUNT=36;BIDDER_ID=30
BID_AMOUNT=78;BIDDER_ID=25
BID_AMOUNT=70;BIDDER_ID=77
BID_AMOUNT=85;BIDDER_ID=0
BID_AMOUNT=20;BIDDER_ID=92
BID_AMOUNT=85;BIDDER_ID=76
BID_AMOUNT=85;BIDDER_ID=99
BID_AMOUNT=85;BIDDER_ID=75
BID_AMOUNT=66;BIDDER_ID=77
BID_AMOUNT=70;BIDDER_ID=6
BID_AMOUNT=66;BIDDER_ID=93
BID_AMOUNT=72;BIDDER_ID=50
BID_AMOUNT=33;BIDDER_ID=42
BID_AMOUNT=61;BIDDER_ID=64
BID_AMOUNT=81;BIDDER_ID=10
BID_AMOUNT=63;BIDDER_ID=18
BID_AMOUNT=14;BIDDER_ID=5
BID_AMOUNT=8;BIDDER_ID=42
BID_AMOUNT=81;BIDDER_ID=55
BID_AMOUNT=0;BIDDER_ID=28
BID_AMOUNT=52;BIDDER_ID=19
BID_AMOUNT=58;BIDDER_ID=4
BID_AMOUNT=60;BIDDER_ID=53
BID_AMOUNT=58;BIDDER_ID=30
BID_AMOUNT=35;BIDDER_ID=91
BID_AMOUNT=59;BIDDER_ID=86
BID_AMOUNT=10;BIDDER_ID=96
BID_AMOUNT=73;BIDDER_ID=4
BID_AMOUNT=79;BIDDER_ID=41
BID_AMOUNT=75;BIDDER_ID=76
BID_AMOUNT=73;BIDDER_ID=36
BID_AMOUNT=8;BIDDER_ID=36
BID_AMOUNT=49;BIDDER_ID=56
BID_AMOUNT=16;BIDDER_ID=82
BID_AMOUNT=39;BIDDER_ID=51
BID_AMOUNT=23;BIDDER_ID=9
BID_AMOUNT=38;BIDDER_ID=44
